r_t,a_t,s_t,s_t_p_1,id_simulation
-2.2008822452050225,"(2, 4)","(7, 11)","(7, 10)",43
-0.9251628910882365,"(3, 1)","(7, 10)","(8, 10)",43
-1.0,"(0, 3)","(8, 10)","(8, 10)",43
-1.4672548301366817,"(3, 2)","(8, 10)","(7, 10)",43
-0.9251628910882365,"(3, 1)","(7, 10)","(8, 10)",43
-1.4478056547001572,"(3, 1)","(8, 10)","(9, 10)",43
-4.2186299619862035,"(1, 1)","(9, 10)","(10, 10)",43
-4.395909794080029,"(1, 1)","(10, 10)","(11, 10)",43
-1.0,"(0, 2)","(11, 10)","(11, 10)",43
-2.942258555122769,"(2, 3)","(11, 10)","(11, 11)",43
-1.626056879875047,"(3, 3)","(11, 11)","(11, 12)",43
-5.4766005516283185,"(1, 2)","(11, 12)","(10, 12)",43
-1.0,"(0, 4)","(10, 12)","(10, 12)",43
-0.8582432727658866,"(3, 4)","(10, 12)","(10, 11)",43
-1.0,"(0, 1)","(10, 11)","(10, 11)",43
-4.2186299619862035,"(1, 4)","(10, 11)","(10, 10)",43
-1.0,"(0, 3)","(10, 10)","(10, 10)",43
-1.465303264693343,"(3, 1)","(10, 10)","(11, 10)",43
-1.0,"(0, 2)","(11, 10)","(11, 10)",43
-1.2279270178644979,"(3, 4)","(11, 10)","(11, 9)",43
-6.142426441581866,"(1, 1)","(11, 9)","(12, 9)",43
-1.0,"(0, 3)","(12, 9)","(12, 9)",43
-1.0,"(0, 3)","(12, 9)","(12, 9)",43
-1.0,"(0, 4)","(12, 9)","(12, 9)",43
-5.760540870208843,"(1, 4)","(12, 9)","(12, 8)",43
-5.360845675439647,"(1, 2)","(12, 8)","(11, 8)",43
-1.2279270178644979,"(3, 3)","(11, 8)","(11, 9)",43
-5.729709352121112,"(1, 2)","(11, 9)","(10, 9)",43
-1.0,"(0, 1)","(10, 9)","(10, 9)",43
-1.4062099873287346,"(3, 3)","(10, 9)","(10, 10)",43
-1.465303264693343,"(3, 1)","(10, 10)","(11, 10)",43
-1.9290088657243167,"(3, 1)","(11, 10)","(12, 10)",43
-2.994092556749035,"(3, 1)","(12, 10)","(13, 10)",43
-2.893513298586475,"(2, 2)","(13, 10)","(12, 10)",43
-5.715763902532509,"(1, 3)","(12, 10)","(12, 11)",43
-1.0,"(0, 2)","(12, 11)","(12, 11)",43
-6.896550769835503,"(1, 3)","(12, 11)","(12, 12)",43
-3.085675098993074,"(2, 1)","(12, 12)","(13, 12)",43
-1.7334887946298234,"(3, 3)","(13, 12)","(13, 13)",43
-1.8215383618224452,"(3, 3)","(13, 13)","(13, 14)",43
-1.4200098139009827,"(3, 1)","(13, 14)","(14, 14)",43
-1.9854350005634793,"(2, 1)","(14, 14)","(15, 14)",43
-1.4200098139009827,"(3, 2)","(15, 14)","(14, 14)",43
-1.3236233337089862,"(3, 1)","(14, 14)","(15, 14)",43
-2.474834280588033,"(2, 3)","(15, 14)","(15, 15)",43
-1.0,"(0, 3)","(15, 15)","(15, 15)",43
-3.9935420062486258,"(1, 3)","(15, 15)","(15, 16)",43
-1.906890154886165,"(2, 2)","(15, 16)","(14, 16)",43
-2.337628724978733,"(2, 3)","(14, 16)","(14, 17)",43
-3.176844284296756,"(1, 1)","(14, 17)","(15, 17)",43
-4.675257449957466,"(1, 2)","(15, 17)","(14, 17)",43
-1.0589480947655854,"(3, 1)","(14, 17)","(15, 17)",43
-2.0153852790086293,"(3, 1)","(15, 17)","(16, 17)",43
-4.9987077789836585,"(1, 3)","(16, 17)","(16, 18)",43
-1.0,"(0, 4)","(16, 18)","(16, 18)",43
-1.0,"(0, 2)","(16, 18)","(16, 18)",43
-1.7393682492990428,"(3, 2)","(16, 18)","(15, 18)",43
-1.588422142148378,"(2, 4)","(15, 18)","(15, 17)",43
-1.0,"(0, 1)","(4, 5)","(4, 5)",44
-1.5141683902265257,"(3, 3)","(4, 5)","(4, 6)",44
-1.0,"(0, 3)","(4, 6)","(4, 6)",44
-1.0,"(0, 1)","(4, 6)","(4, 6)",44
-1.0,"(0, 2)","(4, 6)","(4, 6)",44
-2.793355366283807,"(2, 2)","(4, 6)","(3, 6)",44
-4.542505170679577,"(1, 1)","(3, 6)","(4, 6)",44
-1.4101471728080164,"(3, 3)","(4, 6)","(4, 7)",44
-1.0,"(0, 3)","(4, 7)","(4, 7)",44
-4.607653884198327,"(1, 1)","(4, 7)","(5, 7)",44
-2.1152207592120247,"(2, 2)","(5, 7)","(4, 7)",44
-1.535884628066109,"(3, 1)","(4, 7)","(5, 7)",44
-1.0,"(0, 4)","(5, 7)","(5, 7)",44
-1.4842486605236094,"(3, 1)","(5, 7)","(6, 7)",44
-4.757060623215353,"(1, 1)","(6, 7)","(7, 7)",44
-1.4004232258942106,"(3, 4)","(7, 7)","(7, 6)",44
-1.0,"(0, 2)","(7, 6)","(7, 6)",44
-4.757060623215353,"(1, 3)","(7, 6)","(7, 7)",44
-2.100634838841316,"(2, 4)","(7, 7)","(7, 6)",44
-4.389305800815391,"(1, 1)","(7, 6)","(8, 6)",44
-1.418114430737538,"(3, 3)","(8, 6)","(8, 7)",44
-1.0,"(0, 1)","(8, 7)","(8, 7)",44
-2.3785303116076766,"(2, 2)","(8, 7)","(7, 7)",44
-2.100634838841316,"(2, 4)","(7, 7)","(7, 6)",44
-1.0,"(0, 4)","(7, 6)","(7, 6)",44
-1.0,"(0, 3)","(7, 6)","(7, 6)",44
-2.1946529004076956,"(2, 1)","(7, 6)","(8, 6)",44
-2.100634838841316,"(2, 2)","(8, 6)","(7, 6)",44
-2.4271030746862876,"(2, 4)","(7, 6)","(7, 5)",44
-1.592681761840644,"(3, 4)","(7, 5)","(7, 4)",44
-4.80796354611186,"(1, 2)","(7, 4)","(6, 4)",44
-4.778045285521932,"(1, 1)","(6, 4)","(7, 4)",44
-1.60265451537062,"(3, 2)","(7, 4)","(6, 4)",44
-5.234689914708231,"(1, 4)","(6, 4)","(6, 3)",44
-1.0,"(0, 1)","(6, 3)","(6, 3)",44
-1.0,"(0, 4)","(6, 3)","(6, 3)",44
-2.40398177305593,"(2, 3)","(6, 3)","(6, 4)",44
-1.4687953445304476,"(3, 3)","(6, 4)","(6, 5)",44
-1.0,"(0, 2)","(6, 5)","(6, 5)",44
1.0,"(1, 2)","(6, 5)","(5, 5)",44
-2.055988854601647,"(3, 2)","(5, 5)","(4, 5)",44
-5.027167778505572,"(1, 2)","(4, 5)","(3, 5)",44
-5.899369575498855,"(1, 4)","(3, 5)","(3, 4)",44
-1.500783541845404,"(3, 4)","(3, 4)","(3, 3)",44
-1.0,"(0, 4)","(3, 3)","(3, 3)",44
-2.733255909693169,"(2, 2)","(3, 3)","(2, 3)",44
-1.6808868891236817,"(3, 2)","(2, 3)","(1, 3)",44
-1.0,"(0, 4)","(1, 3)","(1, 3)",44
-1.0,"(0, 1)","(1, 3)","(1, 3)",44
-1.0,"(0, 2)","(1, 3)","(1, 3)",44
-5.417183925271423,"(1, 2)","(1, 3)","(0, 3)",44
-1.6808868891236817,"(3, 1)","(0, 3)","(1, 3)",44
-1.0,"(0, 3)","(1, 3)","(1, 3)",44
-1.0,"(0, 4)","(1, 3)","(1, 3)",44
-1.0,"(0, 4)","(1, 3)","(1, 3)",44
-2.4299144881073387,"(2, 4)","(1, 3)","(1, 2)",44
-6.9854327633527316,"(1, 1)","(1, 2)","(2, 2)",44
-2.733255909693169,"(2, 3)","(2, 2)","(2, 3)",44
-1.6808868891236817,"(3, 2)","(2, 3)","(1, 3)",44
-4.1483077180969925,"(1, 3)","(1, 3)","(1, 4)",44
-2.4255254256749343,"(2, 1)","(1, 4)","(2, 4)",44
-2.9850034196783986,"(2, 3)","(2, 4)","(2, 5)",44
-1.0,"(0, 4)","(2, 5)","(2, 5)",44
-5.027167778505572,"(1, 1)","(2, 5)","(3, 5)",44
-1.990002279785599,"(3, 2)","(3, 5)","(2, 5)",44
-4.610386770664819,"(1, 2)","(2, 5)","(1, 5)",44
-5.998989199450126,"(1, 2)","(1, 5)","(0, 5)",44
-2.817130179594781,"(2, 4)","(0, 5)","(0, 4)",44
-1.382769239365664,"(3, 1)","(0, 4)","(1, 4)",44
-1.6808868891236817,"(3, 4)","(1, 4)","(1, 3)",44
-1.6199429920715591,"(3, 4)","(1, 3)","(1, 2)",44
-6.9854327633527316,"(1, 1)","(1, 2)","(2, 2)",44
-4.666112127575756,"(1, 4)","(2, 2)","(2, 1)",44
-5.38972621599632,"(1, 2)","(2, 1)","(1, 1)",44
-4.666112127575756,"(1, 1)","(1, 1)","(2, 1)",44
-5.38972621599632,"(1, 2)","(2, 1)","(1, 1)",44
-4.859828976214677,"(1, 3)","(1, 1)","(1, 2)",44
-3.3657798211054306,"(1, 2)","(1, 2)","(0, 2)",44
-2.4299144881073387,"(2, 1)","(0, 2)","(1, 2)",44
-5.38972621599632,"(1, 4)","(1, 2)","(1, 1)",44
-1.0,"(0, 1)","(1, 1)","(1, 1)",44
-3.0341529973628343,"(2, 4)","(1, 1)","(1, 0)",44
-4.0846013662505385,"(1, 1)","(1, 0)","(2, 0)",44
-1.0,"(0, 2)","(2, 0)","(2, 0)",44
-2.333056063787878,"(2, 3)","(2, 0)","(2, 1)",44
-4.0846013662505385,"(1, 4)","(2, 1)","(2, 0)",44
-1.0,"(0, 3)","(2, 0)","(2, 0)",44
-1.5217502827570224,"(3, 1)","(2, 0)","(3, 0)",44
-1.9865028938908182,"(2, 1)","(3, 0)","(4, 0)",44
-1.0,"(0, 4)","(4, 0)","(4, 0)",44
-1.0,"(0, 3)","(4, 0)","(4, 0)",44
-1.993350274915222,"(2, 1)","(4, 0)","(5, 0)",44
-3.9730057877816365,"(1, 2)","(5, 0)","(4, 0)",44
-1.0,"(0, 1)","(4, 0)","(4, 0)",44
-2.2826254241355337,"(2, 2)","(4, 0)","(3, 0)",44
-3.9730057877816365,"(1, 1)","(3, 0)","(4, 0)",44
-3.986700549830444,"(1, 1)","(4, 0)","(5, 0)",44
-1.0,"(0, 1)","(5, 0)","(5, 0)",44
-60.0,"(3, 4)","(5, 0)","(5, 0)",44
-2.6046438140137322,"(2, 3)","(5, 0)","(5, 1)",44
-2.6659791025611543,"(2, 3)","(18, 10)","(18, 11)",45
-1.0,"(0, 4)","(18, 11)","(18, 11)",45
-1.7598672661936883,"(3, 3)","(18, 11)","(18, 12)",45
-4.6905027971039654,"(1, 2)","(18, 12)","(17, 12)",45
-1.0,"(0, 2)","(17, 12)","(17, 12)",45
-1.7598672661936883,"(3, 1)","(17, 12)","(18, 12)",45
-1.0,"(0, 1)","(18, 12)","(18, 12)",45
-1.0,"(0, 2)","(18, 12)","(18, 12)",45
-1.0,"(0, 1)","(18, 12)","(18, 12)",45
-1.7773194017074363,"(3, 4)","(18, 12)","(18, 11)",45
-3.728518093564628,"(1, 4)","(18, 11)","(18, 10)",45
-2.6659791025611543,"(2, 3)","(18, 10)","(18, 11)",45
-1.864259046782314,"(2, 4)","(18, 11)","(18, 10)",45
-3.7906659851178386,"(1, 2)","(18, 10)","(17, 10)",45
-1.0,"(0, 1)","(17, 10)","(17, 10)",45
-1.6200655173059322,"(2, 4)","(17, 10)","(17, 9)",45
-2.375233842164458,"(2, 1)","(17, 9)","(18, 9)",45
-1.0,"(0, 1)","(18, 9)","(18, 9)",45
-1.0800436782039549,"(3, 2)","(18, 9)","(17, 9)",45
-1.0,"(0, 4)","(17, 9)","(17, 9)",45
-4.79616225350003,"(1, 1)","(7, 5)","(8, 5)",46
-1.0,"(0, 1)","(8, 5)","(8, 5)",46
-1.0,"(0, 2)","(8, 5)","(8, 5)",46
-1.4631019336051303,"(3, 3)","(8, 5)","(8, 6)",46
-2.100634838841316,"(2, 2)","(8, 6)","(7, 6)",46
-2.3855415921673746,"(2, 2)","(7, 6)","(6, 6)",46
-1.4842486605236094,"(3, 3)","(6, 6)","(6, 7)",46
-2.3785303116076766,"(2, 1)","(6, 7)","(7, 7)",46
-1.4842486605236094,"(3, 2)","(7, 7)","(6, 7)",46
-1.0,"(0, 4)","(6, 7)","(6, 7)",46
-2.3038269420991635,"(2, 2)","(6, 7)","(5, 7)",46
-5.19386614245214,"(1, 4)","(5, 7)","(5, 6)",46
-1.0,"(0, 4)","(5, 6)","(5, 6)",46
-1.5903610614449164,"(3, 1)","(5, 6)","(6, 6)",46
-4.452745981570828,"(1, 3)","(6, 6)","(6, 7)",46
-1.535884628066109,"(3, 2)","(6, 7)","(5, 7)",46
-2.3010238972509445,"(2, 3)","(5, 7)","(5, 8)",46
-2.6542589319979313,"(2, 3)","(5, 8)","(5, 9)",46
-2.625599045985411,"(2, 3)","(5, 9)","(5, 10)",46
-1.3915104078142082,"(3, 3)","(5, 10)","(5, 11)",46
-2.223229549196901,"(2, 3)","(18, 16)","(18, 17)",47
-3.3830707515234586,"(2, 1)","(18, 17)","(19, 17)",47
-1.3588680211070174,"(3, 3)","(19, 17)","(19, 18)",47
-1.0,"(0, 3)","(19, 18)","(19, 18)",47
-1.0,"(0, 4)","(19, 18)","(19, 18)",47
-1.0,"(0, 2)","(19, 18)","(19, 18)",47
-3.8359966138773895,"(1, 3)","(19, 18)","(19, 19)",47
-2.0377670528073666,"(3, 2)","(19, 19)","(18, 19)",47
-3.973044172080156,"(1, 4)","(18, 19)","(18, 18)",47
-2.038302031660526,"(2, 1)","(18, 18)","(19, 18)",47
-6.766141503046917,"(1, 4)","(19, 18)","(19, 17)",47
-60.0,"(3, 1)","(19, 17)","(19, 17)",47
-1.0,"(0, 1)","(19, 17)","(19, 17)",47
-4.446459098393802,"(1, 2)","(19, 17)","(18, 17)",47
-3.0671497417516846,"(2, 4)","(18, 17)","(18, 16)",47
-4.658332418866419,"(1, 4)","(18, 16)","(18, 15)",47
-4.908297477541932,"(1, 4)","(18, 15)","(18, 14)",47
-1.0,"(0, 4)","(18, 14)","(18, 14)",47
-3.42041119677069,"(1, 4)","(18, 14)","(18, 13)",47
-5.279601798581065,"(1, 4)","(18, 13)","(18, 12)",47
-4.4063860335913425,"(1, 2)","(7, 5)","(6, 5)",48
-2.3855415921673746,"(2, 3)","(6, 5)","(6, 6)",48
-1.4004232258942106,"(3, 1)","(6, 6)","(7, 6)",48
-4.771083184334749,"(1, 2)","(7, 6)","(6, 6)",48
-2.2031930167956713,"(2, 4)","(6, 6)","(6, 5)",48
-1.5903610614449164,"(3, 3)","(6, 5)","(6, 6)",48
-2.100634838841316,"(2, 1)","(6, 6)","(7, 6)",48
-4.771083184334749,"(1, 2)","(7, 6)","(6, 6)",48
-1.4687953445304476,"(3, 4)","(6, 6)","(6, 5)",48
-2.40398177305593,"(2, 4)","(6, 5)","(6, 4)",48
-1.744896638236077,"(3, 4)","(6, 4)","(6, 3)",48
-2.4259009222001224,"(2, 1)","(6, 3)","(7, 3)",48
-5.8995193320575385,"(1, 4)","(7, 3)","(7, 2)",48
-5.3451269353879,"(1, 2)","(7, 2)","(6, 2)",48
-3.3397972768817987,"(2, 2)","(6, 2)","(5, 2)",48
-2.67256346769395,"(2, 1)","(5, 2)","(6, 2)",48
-2.6173449573541157,"(2, 3)","(6, 2)","(6, 3)",48
-2.3100305337736815,"(2, 2)","(6, 3)","(5, 3)",48
-3.3397972768817987,"(2, 4)","(5, 3)","(5, 2)",48
-5.3451269353879,"(1, 1)","(5, 2)","(6, 2)",48
-2.2404898088814083,"(2, 4)","(3, 3)","(3, 2)",49
-2.635520797652569,"(2, 4)","(3, 2)","(3, 1)",49
-1.5553707091919187,"(3, 2)","(3, 1)","(2, 1)",49
-1.7965754053321066,"(3, 2)","(2, 1)","(1, 1)",49
-4.859828976214677,"(1, 3)","(1, 1)","(1, 2)",49
-2.69486310799816,"(2, 4)","(1, 2)","(1, 1)",49
-1.741201973491074,"(3, 2)","(1, 1)","(0, 1)",49
-1.1219266070351435,"(3, 3)","(0, 1)","(0, 2)",49
-2.4299144881073387,"(2, 1)","(0, 2)","(1, 2)",49
-1.1219266070351435,"(3, 2)","(1, 2)","(0, 2)",49
-1.8057279750904742,"(3, 3)","(0, 2)","(0, 3)",49
-40.0,"(2, 2)","(0, 3)","(0, 3)",49
-5.042660667371045,"(1, 1)","(0, 3)","(1, 3)",49
-1.0,"(0, 1)","(1, 3)","(1, 3)",49
-5.466511819386338,"(1, 1)","(1, 3)","(2, 3)",49
-2.4255254256749343,"(2, 3)","(2, 3)","(2, 4)",49
-4.1483077180969925,"(1, 2)","(2, 4)","(1, 4)",49
-4.851050851349869,"(1, 1)","(1, 4)","(2, 4)",49
-1.9664565251662849,"(3, 1)","(2, 4)","(3, 4)",49
-1.0,"(0, 3)","(3, 4)","(3, 4)",49
-2.336837342342222,"(2, 3)","(6, 14)","(6, 15)",50
-1.7655961898580983,"(3, 4)","(6, 15)","(6, 14)",50
-1.440848494415192,"(3, 2)","(6, 14)","(5, 14)",50
-1.0,"(0, 3)","(5, 14)","(5, 14)",50
-5.802317102501577,"(1, 4)","(5, 14)","(5, 13)",50
-1.5502824405401674,"(3, 4)","(5, 13)","(5, 12)",50
-1.3032127697030695,"(3, 1)","(5, 12)","(6, 12)",50
-1.5502824405401674,"(3, 2)","(6, 12)","(5, 12)",50
-2.9011585512507887,"(2, 3)","(5, 12)","(5, 13)",50
-1.440848494415192,"(3, 3)","(5, 13)","(5, 14)",50
-1.9341057008338591,"(3, 4)","(5, 14)","(5, 13)",50
-1.0,"(0, 3)","(5, 13)","(5, 13)",50
-2.466208016308048,"(2, 1)","(5, 13)","(6, 13)",50
-1.0,"(0, 2)","(6, 13)","(6, 13)",50
-5.802317102501577,"(1, 2)","(6, 13)","(5, 13)",50
-2.1785313755502154,"(2, 2)","(5, 13)","(4, 13)",50
-1.3590412955232254,"(2, 3)","(4, 13)","(4, 14)",50
-1.4523542503668103,"(3, 4)","(4, 14)","(4, 13)",50
-5.802317102501577,"(1, 1)","(4, 13)","(5, 13)",50
-2.466208016308048,"(2, 1)","(5, 13)","(6, 13)",50
-1.3032127697030695,"(3, 4)","(6, 13)","(6, 12)",50
-1.6441386775386988,"(3, 3)","(6, 12)","(6, 13)",50
-3.9096383091092086,"(1, 4)","(6, 13)","(6, 12)",50
-1.0,"(0, 4)","(6, 12)","(6, 12)",50
-5.981174943836521,"(1, 1)","(6, 12)","(7, 12)",50
-1.9548191545546043,"(2, 2)","(7, 12)","(6, 12)",50
-2.325423660810251,"(2, 2)","(6, 12)","(5, 12)",50
-1.9341057008338591,"(3, 3)","(5, 12)","(5, 13)",50
-2.466208016308048,"(2, 1)","(5, 13)","(6, 13)",50
-2.041731963912179,"(3, 1)","(6, 13)","(7, 13)",50
-1.0,"(0, 2)","(7, 13)","(7, 13)",50
-1.9937249812788405,"(3, 4)","(7, 13)","(7, 12)",50
-3.9096383091092086,"(1, 2)","(7, 12)","(6, 12)",50
-2.325423660810251,"(2, 2)","(6, 12)","(5, 12)",50
-1.9149342293371163,"(3, 2)","(5, 12)","(4, 12)",50
-1.5502824405401674,"(3, 1)","(4, 12)","(5, 12)",50
-1.9548191545546043,"(2, 1)","(5, 12)","(6, 12)",50
-4.932416032616096,"(1, 3)","(6, 12)","(6, 13)",50
-5.296788569574295,"(1, 3)","(6, 13)","(6, 14)",50
-2.161272741622788,"(2, 2)","(6, 14)","(5, 14)",50
-1.0,"(0, 2)","(5, 14)","(5, 14)",50
-5.802317102501577,"(1, 4)","(5, 14)","(5, 13)",50
-1.5502824405401674,"(3, 4)","(5, 13)","(5, 12)",50
-1.9149342293371163,"(3, 2)","(5, 12)","(4, 12)",50
-1.0,"(0, 3)","(4, 12)","(4, 12)",50
-1.0,"(0, 4)","(4, 12)","(4, 12)",50
-1.4523542503668103,"(3, 3)","(4, 12)","(4, 13)",50
-1.9341057008338591,"(3, 1)","(4, 13)","(5, 13)",50
-2.161272741622788,"(2, 3)","(5, 13)","(5, 14)",50
-1.7655961898580983,"(3, 1)","(5, 14)","(6, 14)",50
-2.6709135986336476,"(2, 2)","(15, 11)","(14, 11)",51
-2.5246208565547907,"(2, 1)","(14, 11)","(15, 11)",51
-1.7862923954353498,"(3, 3)","(15, 11)","(15, 12)",51
-1.0,"(0, 2)","(15, 12)","(15, 12)",51
-1.0,"(0, 1)","(15, 12)","(15, 12)",51
-5.0492417131095815,"(1, 4)","(15, 12)","(15, 11)",51
-1.7806090657557652,"(3, 2)","(15, 11)","(14, 11)",51
-1.0,"(0, 2)","(14, 11)","(14, 11)",51
-1.7901501042491403,"(3, 4)","(14, 11)","(14, 10)",51
-1.7806090657557652,"(3, 3)","(14, 10)","(14, 11)",51
-1.0,"(0, 1)","(14, 11)","(14, 11)",51
-2.7485680302187356,"(2, 2)","(14, 11)","(13, 11)",51
-1.0,"(0, 1)","(13, 11)","(13, 11)",51
-8.982277670247106,"(1, 4)","(13, 11)","(13, 10)",51
-5.370450312747421,"(1, 1)","(13, 10)","(14, 10)",51
-2.094087902883492,"(2, 4)","(14, 10)","(14, 9)",51
-1.0,"(0, 3)","(14, 9)","(14, 9)",51
-1.0,"(0, 3)","(14, 9)","(14, 9)",51
-1.7346236499340826,"(2, 2)","(14, 9)","(13, 9)",51
-4.491138835123553,"(2, 3)","(13, 9)","(13, 10)",51
-1.0,"(0, 3)","(13, 10)","(13, 10)",51
-1.0,"(0, 1)","(13, 10)","(13, 10)",51
-5.78702659717295,"(1, 2)","(13, 10)","(12, 10)",51
-1.0,"(0, 4)","(12, 10)","(12, 10)",51
-1.0,"(0, 1)","(12, 10)","(12, 10)",51
-6.142426441581866,"(1, 4)","(12, 10)","(12, 9)",51
-1.8418905267967467,"(2, 2)","(12, 9)","(11, 9)",51
-1.0,"(0, 3)","(11, 9)","(11, 9)",51
-1.9099031173737042,"(3, 2)","(11, 9)","(10, 9)",51
-3.6358722232021554,"(2, 2)","(10, 9)","(9, 9)",51
-2.171708482050236,"(2, 3)","(9, 9)","(9, 10)",51
-1.348588113242018,"(3, 3)","(9, 10)","(9, 11)",51
-0.8582432727658866,"(3, 1)","(9, 11)","(10, 11)",51
-2.942258555122769,"(2, 1)","(10, 11)","(11, 11)",51
-1.465303264693343,"(3, 4)","(11, 11)","(11, 10)",51
-5.78702659717295,"(1, 1)","(11, 10)","(12, 10)",51
-2.0474754805272886,"(3, 4)","(12, 10)","(12, 9)",51
-5.760540870208843,"(1, 4)","(12, 9)","(12, 8)",51
-2.6804228377198234,"(2, 2)","(12, 8)","(11, 8)",51
-1.0,"(0, 1)","(11, 8)","(11, 8)",51
-1.9383548179819907,"(3, 4)","(11, 8)","(11, 7)",51
-1.7748623843437752,"(2, 4)","(11, 7)","(11, 6)",51
-6.731487368909437,"(1, 1)","(11, 6)","(12, 6)",51
-1.5505930039276958,"(3, 3)","(12, 6)","(12, 7)",51
-2.907532226972986,"(2, 2)","(12, 7)","(11, 7)",51
-1.2597245391528336,"(3, 2)","(11, 7)","(10, 7)",51
-5.194325764637363,"(1, 2)","(10, 7)","(9, 7)",51
-1.0,"(0, 3)","(9, 7)","(9, 7)",51
-2.0816587614433835,"(2, 3)","(9, 7)","(9, 8)",51
-6.940294184191275,"(1, 2)","(9, 8)","(8, 8)",51
-1.4463022751061292,"(3, 2)","(12, 0)","(11, 0)",52
-5.093594426878493,"(1, 1)","(11, 0)","(12, 0)",52
-20.0,"(1, 4)","(12, 0)","(12, 0)",52
-4.338906825318388,"(1, 2)","(12, 0)","(11, 0)",52
-20.0,"(1, 4)","(11, 0)","(11, 0)",52
-2.6769696835394567,"(2, 3)","(11, 0)","(11, 1)",52
-2.6951889307096186,"(2, 1)","(11, 1)","(12, 1)",52
-1.0,"(0, 3)","(12, 1)","(12, 1)",52
-1.0,"(0, 1)","(12, 1)","(12, 1)",52
-2.4368748631017527,"(2, 3)","(12, 1)","(12, 2)",52
-2.815765729452054,"(2, 3)","(12, 2)","(12, 3)",52
-1.0,"(0, 1)","(12, 3)","(12, 3)",52
-1.0,"(0, 2)","(12, 3)","(12, 3)",52
-2.374084292743677,"(2, 2)","(12, 3)","(11, 3)",52
-1.0,"(0, 1)","(11, 3)","(11, 3)",52
-1.0,"(0, 3)","(11, 3)","(11, 3)",52
-1.745248364539526,"(3, 2)","(11, 3)","(10, 3)",52
-1.0,"(0, 1)","(10, 3)","(10, 3)",52
-2.4469924495125954,"(2, 4)","(10, 3)","(10, 2)",52
-1.3141530286835108,"(3, 4)","(10, 2)","(10, 1)",52
-1.0,"(0, 4)","(10, 1)","(10, 1)",52
-1.608437931470433,"(3, 4)","(10, 1)","(10, 0)",52
-1.0,"(0, 1)","(10, 0)","(10, 0)",52
-1.4463022751061292,"(3, 1)","(10, 0)","(11, 0)",52
-1.0,"(0, 3)","(11, 0)","(11, 0)",52
-60.0,"(3, 4)","(11, 0)","(11, 0)",52
-1.784646455692971,"(3, 3)","(11, 0)","(11, 1)",52
-5.390377861419237,"(1, 1)","(11, 1)","(12, 1)",52
-3.3625617425767946,"(1, 1)","(12, 1)","(13, 1)",52
-6.390201644746214,"(1, 4)","(13, 1)","(13, 0)",52
-1.6812808712883973,"(2, 3)","(13, 0)","(13, 1)",52
-6.587630362437503,"(1, 1)","(13, 1)","(14, 1)",52
-5.92325282845559,"(1, 3)","(14, 1)","(14, 2)",52
-2.5365577214313877,"(2, 3)","(14, 2)","(14, 3)",52
-5.92325282845559,"(1, 4)","(14, 3)","(14, 2)",52
-1.0,"(0, 1)","(14, 2)","(14, 2)",52
-1.0,"(0, 3)","(14, 2)","(14, 2)",52
-1.0,"(0, 3)","(14, 2)","(14, 2)",52
-2.4688371844691317,"(2, 1)","(14, 2)","(15, 2)",52
-2.35778239023994,"(2, 4)","(15, 2)","(15, 1)",52
-3.4410473484829125,"(1, 1)","(15, 1)","(16, 1)",52
-4.71556478047988,"(1, 2)","(16, 1)","(15, 1)",52
-1.4033798518757965,"(3, 4)","(15, 1)","(15, 0)",52
-1.0,"(0, 3)","(15, 0)","(15, 0)",52
-4.571872474599675,"(1, 2)","(15, 0)","(14, 0)",52
-20.0,"(1, 4)","(14, 0)","(14, 0)",52
-1.0,"(0, 4)","(14, 0)","(14, 0)",52
-6.587630362437503,"(1, 3)","(14, 0)","(14, 1)",52
-1.0,"(0, 1)","(14, 1)","(14, 1)",52
-2.35778239023994,"(2, 1)","(14, 1)","(15, 1)",52
-2.1050697778136946,"(2, 4)","(15, 1)","(15, 0)",52
-1.523957491533225,"(3, 2)","(15, 0)","(14, 0)",52
-2.1050697778136946,"(2, 1)","(14, 0)","(15, 0)",52
-2.2859362372998375,"(2, 2)","(15, 0)","(14, 0)",52
-40.0,"(2, 4)","(14, 0)","(14, 0)",52
-1.0,"(0, 1)","(14, 0)","(14, 0)",52
-1.4033798518757965,"(3, 1)","(14, 0)","(15, 0)",52
-4.571872474599675,"(1, 2)","(15, 0)","(14, 0)",52
-1.0,"(0, 3)","(14, 0)","(14, 0)",52
-1.4033798518757965,"(3, 1)","(14, 0)","(15, 0)",52
-2.35778239023994,"(2, 3)","(15, 0)","(15, 1)",52
-2.1050697778136946,"(2, 4)","(15, 1)","(15, 0)",52
-4.154194368322559,"(1, 1)","(15, 0)","(16, 0)",52
-1.1470157828276375,"(3, 3)","(16, 0)","(16, 1)",52
-1.0,"(0, 4)","(16, 1)","(16, 1)",52
-4.71556478047988,"(1, 2)","(16, 1)","(15, 1)",52
-1.7205236742414562,"(2, 1)","(15, 1)","(16, 1)",52
-1.3847314561075195,"(3, 4)","(16, 1)","(16, 0)",52
-3.4410473484829125,"(1, 3)","(16, 0)","(16, 1)",52
-1.678826187436836,"(3, 1)","(16, 1)","(17, 1)",52
-3.4410473484829125,"(1, 2)","(17, 1)","(16, 1)",52
-6.11872958783085,"(1, 3)","(16, 1)","(16, 2)",52
-4.44007591247208,"(1, 3)","(16, 2)","(16, 3)",52
